# venue: binance
# source: https://fapi.binance.com/fapi/v1/fundingRate
# fetched_at: 2026-08-10T17:53:40Z
# caveat: Historical funding from the source venue (public, free). Cross-venue proxy for Coinbase-INTX funding; rates correlate but are not identical. ts=epoch seconds UTC. OI not available historically.
ts,coin,venue,funding_rate,funding_annualized,mark_price,open_interest,source
1602835200,AAVE,binance,-0.00246122,-2.6950359,,,https://fapi.binance.com/fapi/v1/fundingRate
1602864000,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1602892800,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1602921600,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1602950400,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1602979200,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1603008000,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1603036800,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1603065600,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1603094400,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1603123200,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1603152000,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1603180800,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1603209600,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1603238400,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1603267200,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1603296000,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1603324800,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1603353600,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1603382400,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1603411200,AAVE,binance,-0.00117398,-1.2855081,,,https://fapi.binance.com/fapi/v1/fundingRate
1603440000,AAVE,binance,-0.00025352,-0.27760440000000003,,,https://fapi.binance.com/fapi/v1/fundingRate
1603468800,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1603497600,AAVE,binance,-0.00087502,-0.9581469,,,https://fapi.binance.com/fapi/v1/fundingRate
1603526400,AAVE,binance,-0.00038817,-0.42504615,,,https://fapi.binance.com/fapi/v1/fundingRate
1603555200,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1603584000,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1603612800,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1603641600,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1603670400,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1603699200,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1603728000,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1603756800,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1603785600,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1603814400,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1603843200,AAVE,binance,0.00042733,0.46792635,,,https://fapi.binance.com/fapi/v1/fundingRate
1603872000,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1603900800,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1603929600,AAVE,binance,0.00027867,0.30514365,,,https://fapi.binance.com/fapi/v1/fundingRate
1603958400,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1603987200,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1604016000,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
