datetime_utc,open,high,low,close,volume
2015-07-20 21:00,277.98,278,277.92,278,59.26045637
2015-07-20 22:00,278,278.5,277.37,278.14,346.99541114
2015-07-20 23:00,278.31,280,278.15,280,376.62755208
2015-07-21 00:00,279.96,281,279.38,280.89,288.17797553
2015-07-21 01:00,280.89,281.15,280.35,280.36,380.933023
2015-07-21 02:00,280.36,280.46,279.54,280.37,248.00351258
2015-07-21 03:00,280.37,281.04,279.98,281.04,204.02621645
2015-07-21 04:00,281.04,281.27,280.94,280.99,188.4059
2015-07-21 05:00,280.99,281.23,280.57,280.81,170.64809318
2015-07-21 06:00,280.81,280.81,279.28,279.36,94.1077
2015-07-21 07:00,279.33,279.77,279.31,279.48,63.28964542
2015-07-21 08:00,279.42,280.15,279.25,279.91,122.95976614
2015-07-21 09:00,279.81,280.89,279.8,279.97,53.4367
2015-07-21 10:00,279.95,279.95,279,279.3,99.50425839
2015-07-21 11:00,279.26,279.77,278.76,279.4,169.0324
2015-07-21 12:00,279.38,279.38,278.3,278.43,127.811029
2015-07-21 13:00,278.58,279.5,278.25,279.11,170.869
2015-07-21 14:00,279.11,279.67,278.9,279.66,208.7008
2015-07-21 15:00,279.6,279.63,279.01,279.45,251.95289683
2015-07-21 16:00,279.45,280,279.45,280,232.95743556
2015-07-21 17:00,279.95,279.95,279.6,279.76,184.98118109
2015-07-21 18:00,279.76,280,279,279.88,251.80827375
2015-07-21 19:00,279.87,280,279.6,280,331.44242699
2015-07-21 20:00,280,280,279.12,279.57,207.5703
2015-07-21 21:00,279.73,279.86,279.4,279.86,170.41961254
2015-07-21 22:00,279.67,279.67,278.01,278.13,418.95319548
2015-07-21 23:00,278.07,278.18,276.85,277.32,303.56809244
2015-07-22 00:00,277.33,277.79,277.32,277.79,228.66656924
2015-07-22 01:00,277.79,278.3,276.48,276.61,209.02852313
2015-07-22 02:00,276.56,276.89,276.01,276.42,166.84161144
2015-07-22 03:00,276.58,277.16,276.21,276.91,241.77429438
2015-07-22 04:00,276.85,276.95,276.31,276.4,171.77857842
2015-07-22 05:00,276.38,276.81,275.51,275.81,229.82068868
2015-07-22 06:00,275.74,276.79,275.01,276.04,307.50722707
2015-07-22 07:00,275.98,276.78,275.9,276.73,197.44124778
2015-07-22 08:00,276.74,276.79,276.64,276.79,59.2984
2015-07-22 09:00,276.71,277,276.69,277,68.7865252
2015-07-22 10:00,276.99,277.03,276.33,277.03,97.6065
2015-07-22 11:00,277.03,277.11,276.52,277.11,81.2952
2015-07-22 12:00,276.93,277.14,276.11,276.18,176.68582796
2015-07-22 13:00,276.38,277.15,276,276.69,187.14966842
2015-07-22 14:00,276.79,278.18,276.66,277.95,192.69734
2015-07-22 15:00,277.68,278.23,277.54,278.16,242.90524355
2015-07-22 16:00,278.17,278.54,277.57,277.99,199.76706804
2015-07-22 17:00,277.99,278,277.54,277.81,168.80157
2015-07-22 18:00,277.81,277.93,276.58,277.11,269.56452639
2015-07-22 19:00,276.98,277.19,276.06,276.26,217.64537973
2015-07-22 20:00,276.2,277.61,276,277.49,278.45236795
2015-07-22 21:00,277.46,277.51,276.74,277.1,235.47774909
2015-07-22 22:00,277.1,277.44,276.81,277.33,147.351749
2015-07-22 23:00,277.31,277.96,277.31,277.89,311.56552784
2015-07-23 00:00,277.96,278.26,277.91,278.16,167.75925623
2015-07-23 01:00,278.13,278.74,277.93,278.74,216.55418083
2015-07-23 02:00,278.65,279.75,278.65,279.06,447.19193913
2015-07-23 03:00,279.06,279.18,277.73,277.89,177.49341615
2015-07-23 04:00,277.88,278.62,277.79,278.31,125.40105968
2015-07-23 05:00,278.33,278.56,277.33,277.63,172.46192121
2015-07-23 06:00,277.63,277.94,277.47,277.47,170.93883833
2015-07-23 07:00,277.48,277.81,277.48,277.72,99.4728
2015-07-23 08:00,277.71,278.19,277.7,278.05,112.6535725
2015-07-23 09:00,278.05,278.05,277.67,277.78,85.7449
2015-07-23 10:00,277.78,278.16,277.72,277.83,107.6201
2015-07-23 11:00,277.79,277.83,277.14,277.31,124.1465332
2015-07-23 12:00,277.36,277.83,277.25,277.7,144.28498602
2015-07-23 13:00,277.72,278.25,277.7,278.03,442.76429366
2015-07-23 14:00,278.15,278.25,277.58,278.08,297.87874342
2015-07-23 15:00,278.06,278.06,276.36,276.94,300.58000436
2015-07-23 16:00,276.93,277.21,276.6,276.74,245.1843288
2015-07-23 17:00,276.73,277,276.53,276.88,207.6836369
2015-07-23 18:00,276.88,277.8,276.88,277.56,271.52520996
2015-07-23 19:00,277.57,277.59,276.38,277.05,556.4342
2015-07-23 20:00,277.05,277.35,276.45,277,205.68729621
2015-07-23 21:00,276.9,277.54,276.52,276.7,234.6823
2015-07-23 22:00,276.69,277.38,276.28,277,165.19696646
2015-07-23 23:00,276.92,277.42,276.56,277.39,227.57909226
2015-07-24 00:00,277.23,277.23,276.55,276.99,166.80557145
2015-07-24 01:00,276.95,277,276.51,276.91,256.37744
2015-07-24 02:00,276.91,276.99,276.73,276.87,199.2628873
2015-07-24 03:00,276.87,277,276.43,276.99,184.71918604
2015-07-24 04:00,277,277.61,277,277.52,206.37756013
2015-07-24 05:00,277.52,277.62,277.52,277.62,96.90482341
2015-07-24 06:00,277.62,277.88,277.6,277.71,160.68095958
2015-07-24 07:00,277.72,278.09,277.63,278.09,183.45470965
2015-07-24 08:00,278.09,284.34,278.09,283.86,438.69966393
2015-07-24 09:00,283.85,286.44,283.38,286.42,303.58957596
2015-07-24 10:00,286.41,286.41,284.01,285.88,324.89749761
2015-07-24 11:00,285.89,286.72,284.83,285.1,325.39577873
2015-07-24 12:00,285.1,285.1,284.19,284.35,304.82280709
2015-07-24 13:00,284.44,284.88,283.87,284.88,358.09040654
2015-07-24 14:00,284.88,284.89,284.04,284.46,299.85449257
2015-07-24 15:00,284.58,284.66,283.75,284.38,289.86637486
2015-07-24 16:00,284.38,286.68,284.12,286.59,396.47449061
2015-07-24 17:00,286.6,288.99,286.37,288.26,556.13660075
2015-07-24 18:00,288.49,288.94,287.79,288.58,465.11074994
2015-07-24 19:00,288.57,290.32,288.57,290.02,479.30881584
2015-07-24 20:00,290.01,291.52,289.26,289.35,531.64940585
2015-07-24 21:00,289.35,289.94,289.03,289.29,362.31644568
2015-07-24 22:00,289.29,289.33,289.13,289.2,280.06632679
2015-07-24 23:00,289.21,289.55,289.12,289.12,191.60651264
2015-07-25 00:00,289.12,289.22,287.88,288.12,221.40433268
2015-07-25 01:00,288.12,288.12,286.82,286.99,227.14260446
2015-07-25 02:00,287.01,288.56,287.01,288.32,206.93469852
2015-07-25 03:00,288.32,289.29,288.1,289.06,333.51898169
2015-07-25 04:00,289.05,289.99,288.28,289.99,401.18156521
2015-07-25 05:00,289.99,289.99,287.7,288.24,125.57381662
2015-07-25 06:00,288.23,288.65,288.02,288.3,82.82135233
2015-07-25 07:00,288.3,289.3,288.29,289.06,78.25873986
2015-07-25 08:00,288.97,289.34,288.63,289.13,62.39104775
2015-07-25 09:00,289.16,289.21,288.52,288.77,35.77507203
2015-07-25 10:00,288.72,289.61,288.43,289.58,39.18362596
2015-07-25 11:00,289.57,291.25,289.57,290.4,146.66210763
2015-07-25 12:00,290.45,291.14,290.45,291.02,85.26760308
2015-07-25 13:00,291.02,291.67,291.02,291.24,273.61161976
2015-07-25 14:00,291.27,291.27,289.63,289.93,209.61165729
2015-07-25 15:00,289.93,290.6,289.82,290.49,196.51985102
2015-07-25 16:00,290.49,290.56,289.01,289.05,167.82450173
2015-07-25 17:00,289.03,289.03,288.59,288.59,153.93675772
2015-07-25 18:00,288.6,288.77,287.62,288.72,214.15497789
2015-07-25 19:00,288.73,288.97,288.51,288.66,233.90325175
2015-07-25 20:00,288.72,288.93,288.45,288.72,165.9568445
2015-07-25 21:00,288.68,288.68,288.45,288.49,101.65298016
2015-07-25 22:00,288.5,289.47,288.37,289.37,236.1582
2015-07-25 23:00,289.37,289.7,289.37,289.7,103.00677044
2015-07-26 00:00,289.68,289.99,289.57,289.73,110.60408705
2015-07-26 01:00,289.72,289.99,289.63,289.77,115.80707381
2015-07-26 02:00,289.78,289.99,289.2,289.48,116.30083988
2015-07-26 03:00,289.47,289.6,289.42,289.55,82.87645749
2015-07-26 04:00,289.54,289.55,288.98,289.05,106.74619331
2015-07-26 05:00,289.05,289.27,288.65,288.96,132.25328544
2015-07-26 06:00,288.95,289.07,288.92,289.02,79.96775752
2015-07-26 07:00,289.02,289.07,288.89,288.97,43.075136
2015-07-26 08:00,288.96,288.96,288.83,288.83,14.5381302
2015-07-26 09:00,288.83,288.9,288.65,288.9,42.23581926
2015-07-26 10:00,288.91,293.33,288.9,293.09,284.32370884
2015-07-26 11:00,293.23,293.44,292.95,293.43,75.09687096
2015-07-26 12:00,293.44,293.87,293.07,293.35,63.83753604
2015-07-26 13:00,293.34,293.35,292.69,292.72,265.0506572
2015-07-26 14:00,292.7,293,291.92,293,303.10503515
2015-07-26 15:00,293,293.3,292.94,293,340.84053024
2015-07-26 16:00,292.96,293.02,292.63,292.69,222.7611825
2015-07-26 17:00,292.7,292.85,292.63,292.74,180.80296635
2015-07-26 18:00,292.75,293.01,292.42,293.01,187.84102342
2015-07-26 19:00,292.95,293.04,292.03,292.52,210.02709916
2015-07-26 20:00,292.39,293.54,292.13,293.3,145.60991972
2015-07-26 21:00,293.2,294,292.73,293.88,258.94798068
2015-07-26 22:00,293.88,294.49,293.38,293.99,238.83316693
2015-07-26 23:00,293.96,293.99,293.19,293.89,113.7641454
2015-07-27 00:00,293.88,293.89,292.87,293.29,195.49098513
2015-07-27 01:00,293.3,294.96,293.3,293.74,214.02416962
2015-07-27 02:00,293.96,294.03,292.72,293.8,240.64675173
2015-07-27 03:00,293.79,293.8,292.42,292.95,238.75694655
2015-07-27 04:00,292.88,293.17,292.7,292.96,195.04114545
2015-07-27 05:00,292.96,293.01,292.37,292.42,249.3535531
2015-07-27 06:00,292.43,292.5,292,292.01,116.17278422
2015-07-27 07:00,292.01,292.1,287.24,288.21,283.36497344
2015-07-27 08:00,288.22,288.64,287.27,287.41,134.85434873
2015-07-27 09:00,287.71,289.48,287.71,289.16,110.17937676
2015-07-27 10:00,289.17,289.22,288.87,288.96,124.33563422
2015-07-27 11:00,288.96,288.96,288.31,288.4,89.83064172
2015-07-27 12:00,288.39,289.12,288.36,289.03,183.26300108
2015-07-27 13:00,289.03,289.06,288.56,288.65,211.51646147
2015-07-27 14:00,288.68,289.91,288.54,289.52,260.01125612
2015-07-27 15:00,289.44,289.92,288.61,288.99,378.25520477
2015-07-27 16:00,288.89,289.09,288.11,288.36,339.82022907
2015-07-27 17:00,288.48,288.75,288.17,288.75,253.91055249
2015-07-27 18:00,288.75,293.45,288.74,293.45,550.84943598
2015-07-27 19:00,293.45,296,293.44,294.79,802.79130441
2015-07-27 20:00,294.98,295.45,294.25,295.43,301.06179986
2015-07-27 21:00,295.44,296.68,294.99,296.66,435.22640041
2015-07-27 22:00,296.66,297,296.04,296.21,298.82259388
2015-07-27 23:00,296.22,296.22,293.35,294.21,253.45358469
2015-07-28 00:00,294.22,296.97,293.65,296.46,453.71394651
2015-07-28 01:00,296.45,297.87,295.61,296.23,344.29924762
2015-07-28 02:00,296.17,296.81,296.01,296.41,222.1580353
2015-07-28 03:00,296.4,297.15,294.76,295.23,312.15698891
2015-07-28 04:00,295.23,296.99,294.74,296.99,211.18603982
2015-07-28 05:00,296.99,298,296.25,297.04,180.22501694
2015-07-28 06:00,296.98,297.25,296.88,297.21,83.2472273
2015-07-28 07:00,297.22,297.25,295.54,295.95,191.68491907
2015-07-28 08:00,296.01,296.08,293.69,295.96,254.53782759
2015-07-28 09:00,295.96,295.98,294.6,294.6,90.74168058
2015-07-28 10:00,294.69,295.64,294.49,295.17,175.34193039
2015-07-28 11:00,295.17,295.29,294.43,294.69,152.98935959
2015-07-28 12:00,294.76,295.19,294.27,295.02,211.50692996
2015-07-28 13:00,295.01,295.44,294.4,295.14,153.70880698
2015-07-28 14:00,295.14,295.35,294.43,295.09,200.3771837
2015-07-28 15:00,295.09,296.64,294.75,296.38,338.1840841
2015-07-28 16:00,296.31,297.13,295.51,295.83,401.02782826
2015-07-28 17:00,295.83,296.3,295.72,296.19,290.91884863
2015-07-28 18:00,296.15,296.29,295.82,296.13,183.0991721
2015-07-28 19:00,296.13,296.3,295.53,295.96,319.0539084
2015-07-28 20:00,295.94,296.51,295.73,296.42,234.61434492
2015-07-28 21:00,296.42,296.53,295.58,296,264.5201
2015-07-28 22:00,295.99,295.99,295.5,295.88,265.49402994
2015-07-28 23:00,295.86,296.55,295.51,295.76,227.08216109
2015-07-29 00:00,295.74,296.14,295.25,295.94,259.65495726
2015-07-29 01:00,295.93,296.58,294.3,296.42,367.85254197
2015-07-29 02:00,295.89,296.52,295,295.7,154.26978531
2015-07-29 03:00,295.69,296,295.12,295.33,191.33188603
2015-07-29 04:00,295.33,295.33,294.06,294.48,176.35694161
2015-07-29 05:00,294.49,294.76,291.5,291.5,374.27944429
2015-07-29 06:00,291.52,291.8,290.51,291.5,155.25252415
2015-07-29 07:00,291.48,291.48,290.22,290.41,274.4454
2015-07-29 08:00,290.41,291.1,290.4,291,92.80635439
2015-07-29 09:00,291,291,290.46,290.55,88.61215046
2015-07-29 10:00,290.55,290.55,289.01,289.36,210.30885927
2015-07-29 11:00,289.36,290.69,289.36,290.24,118.5490975
2015-07-29 12:00,290.33,290.72,290.27,290.55,131.42884392
2015-07-29 13:00,290.56,291.81,290.52,291.81,171.10651387
2015-07-29 14:00,291.81,291.97,291.61,291.92,254.79044986
2015-07-29 15:00,291.92,292.19,291.32,291.66,221.94777804
2015-07-29 16:00,291.72,291.96,290.46,290.46,261.7890413
2015-07-29 17:00,290.65,290.65,290.27,290.3,241.81720242
2015-07-29 18:00,290.31,293,290.31,292.35,409.6232092
2015-07-29 19:00,292.3,292.3,291.5,291.51,236.08257921
2015-07-29 20:00,291.51,292,291.5,291.66,224.60723755
2015-07-29 21:00,291.67,291.69,291.5,291.55,169.35703
2015-07-29 22:00,291.54,291.55,291.5,291.51,159.4679892
2015-07-29 23:00,291.51,291.51,289.12,290.19,277.76935383
2015-07-30 00:00,290.26,290.26,288.24,288.97,277.09452122
2015-07-30 01:00,288.97,289.39,288.46,289.33,151.8429
2015-07-30 02:00,289.36,289.96,289.21,289.45,198.99321414
2015-07-30 03:00,289.45,290.27,289.41,289.72,178.126735
2015-07-30 04:00,289.72,290.42,289.7,290.12,190.46003287
2015-07-30 05:00,290.04,290.98,290.03,290.69,227.34570428
2015-07-30 06:00,290.78,291.56,290.39,291.11,275.24800306
2015-07-30 07:00,291.11,291.11,289.78,289.85,71.55707844
2015-07-30 08:00,289.86,289.86,289.45,289.58,202.70655837
2015-07-30 09:00,289.57,289.59,288.1,288.1,108.43813477
2015-07-30 10:00,288.1,288.1,286.56,286.67,177.80212693
2015-07-30 11:00,286.68,286.7,286.68,286.7,107.1603
2015-07-30 12:00,286.7,286.96,286.7,286.96,125.25610341
2015-07-30 13:00,286.93,287.04,286.88,286.97,252.66446937
2015-07-30 14:00,287.01,287.54,286.98,287.41,253.3379256
2015-07-30 15:00,287.43,288.34,287.41,288.34,386.9904392
2015-07-30 16:00,288.35,288.84,288.02,288.3,247.45
2015-07-30 17:00,288.13,289.4,288.01,288.71,215.91669025
2015-07-30 18:00,288.71,289.27,288.25,288.52,240.42806436
2015-07-30 19:00,288.52,288.66,288,288.42,253.97728764
2015-07-30 20:00,288.2,288.54,287.71,287.98,427.88915742
2015-07-30 21:00,287.98,288.18,287.74,287.94,257.17082783
2015-07-30 22:00,287.97,288.89,287.97,288.52,206.0891
2015-07-30 23:00,288.51,288.51,288.25,288.49,105.0361744
2015-07-31 00:00,288.49,288.98,288.32,288.85,239.23147017
2015-07-31 01:00,288.85,289.24,288.71,289.24,157.1051515
2015-07-31 02:00,289.17,290,289,289.76,219.28485909
2015-07-31 03:00,289.84,289.88,287.85,288.31,138.61286149
2015-07-31 04:00,288.31,288.81,287.89,288.05,361.0209
2015-07-31 05:00,288.05,288.05,285,285.28,273.97158687
2015-07-31 06:00,285.07,285.37,284.1,284.74,289.86839294
2015-07-31 07:00,284.74,284.74,282.79,283.06,183.71883622
2015-07-31 08:00,283.08,283.33,283.08,283.32,214.23927402
2015-07-31 09:00,283.33,283.46,282.98,283.46,106.6681
2015-07-31 10:00,283.46,283.52,283.46,283.52,43.214402
2015-07-31 11:00,283.52,285.03,283.52,284.96,158.30192054
2015-07-31 12:00,284.92,285.58,284.81,285.5,180.70920036
2015-07-31 13:00,285.5,285.8,285.41,285.59,196.88324
2015-07-31 14:00,285.59,285.75,285.11,285.75,255.26062899
2015-07-31 15:00,285.73,286.17,285.56,286.15,273.974794
2015-07-31 16:00,286.13,286.25,283.68,284.75,321.93758278
2015-07-31 17:00,284.71,286.03,284.62,285.5,375.71418945
2015-07-31 18:00,285.57,286.39,285.52,285.75,300.91390761
2015-07-31 19:00,285.84,287.54,285.66,286.94,259.17091124
2015-07-31 20:00,286.92,287,284.75,285.18,379.30823525
2015-07-31 21:00,285.26,285.75,284.53,285.02,335.51573335
2015-07-31 22:00,285.03,285.4,284.29,284.74,190.16958106
2015-07-31 23:00,284.8,285.3,284.28,285.19,221.8227
2015-08-01 00:00,285.2,285.6,284.82,285.25,175.5137
2015-08-01 01:00,285.25,285.25,283.1,283.1,210.41221372
2015-08-01 02:00,283.1,283.61,282.25,283.06,203.8837337
2015-08-01 03:00,283.27,283.85,283,283.66,124.1341
2015-08-01 04:00,283.67,284,283.43,283.6,153.6969
2015-08-01 05:00,283.66,283.66,282.33,282.34,122.4285208
2015-08-01 06:00,282.3,282.3,280.41,281.02,104.98944916
2015-08-01 07:00,281.1,281.1,279.5,279.51,95.99171507
2015-08-01 08:00,279.51,279.95,278.7,279.94,193.98221531
2015-08-01 09:00,279.95,280.45,279.87,279.95,39.681619
2015-08-01 10:00,279.89,280.15,279.63,280.01,66.59119313
2015-08-01 11:00,280,280,277.82,277.82,101.31301086
2015-08-01 12:00,278.09,279.62,277.99,278.92,110.9475
2015-08-01 13:00,278.93,279.84,278.66,279.37,184.71015063
2015-08-01 14:00,279.28,279.84,277.67,277.67,147.884673
2015-08-01 15:00,278.2,278.99,277.26,278.89,201.29036858
2015-08-01 16:00,278.88,281.66,278.88,280.45,312.76640076
2015-08-01 17:00,280.45,281.3,280.38,280.95,143.534
2015-08-01 18:00,281.06,281.56,280.78,281.56,150.0714
2015-08-01 19:00,281.24,282.22,281.18,282.09,204.823611
2015-08-01 20:00,282.04,282.19,280.9,281.01,163.45810945
2015-08-01 21:00,280.99,281.6,280.75,281.2,160.52103066
2015-08-01 22:00,281.2,282.83,280.82,282.15,373.52293662
2015-08-01 23:00,282.15,282.66,281.53,281.53,186.3012
2015-08-02 00:00,281.53,281.63,279.74,279.75,178.14583123
2015-08-02 01:00,279.75,279.75,278.18,278.63,159.62893005
2015-08-02 02:00,278.66,280.73,278.65,280.56,124.51416461
2015-08-02 03:00,280.32,280.9,279.62,279.84,109.93474813
2015-08-02 04:00,279.9,280.31,278.19,278.65,159.8833
2015-08-02 05:00,278.45,280,277.51,278.96,133.8942
2015-08-02 06:00,278.88,278.88,277.33,278.62,234.1372
2015-08-02 07:00,278.62,278.65,278.53,278.54,110.0051
2015-08-02 08:00,278.53,278.71,278.52,278.71,60.930243
2015-08-02 09:00,278.71,278.83,278.43,278.67,145.1295
2015-08-02 10:00,278.8,278.96,278.8,278.96,78.96144632
2015-08-02 11:00,278.96,280.69,278.96,280.42,66.53978615
2015-08-02 12:00,280.51,281.54,280.51,281.4,59.85628018
2015-08-02 13:00,281.39,281.63,281.3,281.53,109.7893
2015-08-02 14:00,281.43,281.63,281,281.01,136.17502372
2015-08-02 15:00,281.01,281.25,280.5,281.15,72.1449
2015-08-02 16:00,281.05,281.75,280.89,281.7,164.56846701
2015-08-02 17:00,281.7,282.01,281.12,281.12,244.4540375
2015-08-02 18:00,281.15,282.35,280.92,282.23,120.42575485
2015-08-02 19:00,282.23,282.55,281.98,282.19,233.2875
2015-08-02 20:00,282.46,282.5,282.1,282.27,201.2986
2015-08-02 21:00,282.33,282.49,282.07,282.28,83.2236
2015-08-02 22:00,282.29,282.54,282.15,282.51,242.9085424
2015-08-02 23:00,282.54,282.62,282.49,282.62,131.25023415
2015-08-03 00:00,282.62,282.62,282.1,282.3,231.171
2015-08-03 01:00,282.3,282.44,281.25,281.7,264.36025115
2015-08-03 02:00,281.61,282.05,281.25,281.31,144.610184
2015-08-03 03:00,281.31,281.42,280.27,280.6,197.9908
2015-08-03 04:00,280.59,281.16,280.38,281,169.6595
2015-08-03 05:00,280.97,281.25,280.74,280.97,156.8096306
2015-08-03 06:00,281.08,282.68,280.97,282.67,151.61541555
2015-08-03 07:00,282.68,284.4,282.67,283.78,102.81261664
2015-08-03 08:00,283.78,284.31,283.75,284.27,64.0501
2015-08-03 09:00,284.3,284.39,283.75,283.75,45.06163113
2015-08-03 10:00,283.75,283.75,283.42,283.52,53.42936652
2015-08-03 11:00,283.52,283.63,283.44,283.62,119.2084
2015-08-03 12:00,283.63,285.81,283.63,285.68,279.19010267
2015-08-03 13:00,285.6,285.6,283.74,284.13,294.99562297
2015-08-03 14:00,284.01,284.43,283.9,284.38,274.37419
2015-08-03 15:00,284.38,285.04,284.19,284.99,272.70472961
2015-08-03 16:00,284.99,285.2,284.56,285.02,261.82283305
2015-08-03 17:00,284.98,285.39,284.81,285.3,262.0193893
2015-08-03 18:00,285.15,285.86,283.2,283.63,886.13398612
2015-08-03 19:00,283.63,283.76,283.07,283.44,57.40967136
2015-08-03 20:00,283.44,283.44,282.93,282.94,113.956311
2015-08-03 21:00,282.94,283,282.53,282.53,84.685089
2015-08-03 22:00,282.54,282.68,281.59,281.59,93.036296
2015-08-03 23:00,281.59,281.72,280.95,280.95,160.62199
